u,v,moda,periode,w
Pematang Siantar,Sibolga,TRUK,1,15
Pematang Siantar,Padang,TRUK,1,15
Pematang Siantar,Pekanbaru,TRUK,1,15
Pematang Siantar,Bengkulu,TRUK,1,15
Pematang Siantar,Jambi,TRUK,1,15
Pematang Siantar,Palembang,TRUK,1,15
Pematang Siantar,Lampung,TRUK,1,15
Pematang Siantar,Pangkal Pinang,TRUK,1,15
Pematang Siantar,Medan,KRTA,1,2
Pontianak,Palangkaraya,TRUK,1,15
Pontianak,Banjarmasin,TRUK,1,15
Pontianak,Balikpapan,TRUK,1,15
Pontianak,Samarinda,TRUK,1,15
Pontianak,Tarakan,TRUK,1,15
Pontianak,Jakarta,KBRG,1,4
Purwokerto,Serang,TRUK,1,15
Purwokerto,Jakarta,TRUK,1,15
Purwokerto,Bandung,TRUK,1,15
Purwokerto,Tasikmalaya,TRUK,1,15
Purwokerto,Cirebon,TRUK,1,15
Purwokerto,Tegal,TRUK,1,15
Purwokerto,Yogyakarta,TRUK,1,15
Purwokerto,Semarang,TRUK,1,15
Purwokerto,Solo,TRUK,1,15
Purwokerto,Kediri,TRUK,1,15
Purwokerto,Malang,TRUK,1,15
Purwokerto,Surabaya,TRUK,1,15
Purwokerto,Jember,TRUK,1,15
Purwokerto,Cirebon,KRTA,1,2
Purwokerto,Jakarta,KRTA,1,2
Purwokerto,Jember,KRTA,1,2
Purwokerto,Yogyakarta,KRTA,1,2
Purwokerto,Surabaya,KRTA,1,2
Purwokerto,Tasikmalaya,KRTA,1,2
Purwokerto,Bandung,KRTA,1,2
Purwokerto,Semarang,KRTA,1,2
Purwokerto,Tegal,KRTA,1,2
Samarinda,Pontianak,TRUK,1,15
Samarinda,Palangkaraya,TRUK,1,15
Samarinda,Banjarmasin,TRUK,1,15
Samarinda,Balikpapan,TRUK,1,15
Samarinda,Tarakan,TRUK,1,15
Samarinda,Palu,TRUK,1,15
Samarinda,Jakarta,KBRG,1,4
Samarinda,Surabaya,KBRG,1,4
Samarinda,Balikpapan,KBRG,1,4
Samarinda,Palu,KBRG,1,4
Samarinda,Manado,KBRG,1,4
Samarinda,Kendari,KBRG,1,4
Semarang,Serang,TRUK,1,15
Semarang,Jakarta,TRUK,1,15
Semarang,Bandung,TRUK,1,15
Semarang,Tasikmalaya,TRUK,1,15
Semarang,Cirebon,TRUK,1,15
