u,v,moda,periode,w
Surabaya,Denpasar,TRUK,8,6
Surabaya,Denpasar,TRUK,10,3
Banjarmasin,Palangkaraya,TRUK,2,1
Banjarmasin,Palangkaraya,TRUK,3,2
Banjarmasin,Palangkaraya,TRUK,4,5
Banjarmasin,Palangkaraya,TRUK,5,4
Banjarmasin,Palangkaraya,TRUK,6,3
Banjarmasin,Palangkaraya,TRUK,7,2
Banjarmasin,Palangkaraya,TRUK,8,4
Banjarmasin,Palangkaraya,TRUK,9,2
Banjarmasin,Palangkaraya,TRUK,10,6
Banjarmasin,Palangkaraya,TRUK,11,3
Banjarmasin,Palangkaraya,TRUK,12,4
Balikpapan,Samarinda,TRUK,1,1
Balikpapan,Samarinda,TRUK,2,3
Balikpapan,Samarinda,TRUK,3,12
Balikpapan,Samarinda,TRUK,4,4
Balikpapan,Samarinda,TRUK,5,6
Balikpapan,Samarinda,TRUK,6,9
Balikpapan,Samarinda,TRUK,8,1
Balikpapan,Samarinda,TRUK,9,6
Balikpapan,Samarinda,TRUK,10,3
Balikpapan,Samarinda,TRUK,11,3
Balikpapan,Palu,TRUK,2,5
Balikpapan,Palu,TRUK,4,2
Balikpapan,Palu,TRUK,6,5
Balikpapan,Palu,TRUK,9,3
Balikpapan,Palu,TRUK,10,3
Balikpapan,Palu,TRUK,11,3
Balikpapan,Tarakan,TRUK,4,2
Balikpapan,Tarakan,TRUK,6,3
Balikpapan,Tarakan,TRUK,7,3
Balikpapan,Tarakan,TRUK,9,3
Balikpapan,Tarakan,TRUK,11,3
Denpasar,Mataram,KPNG,1,1
Denpasar,Mataram,KPNG,2,1
Denpasar,Mataram,KPNG,3,2
Denpasar,Mataram,KPNG,4,3
Denpasar,Mataram,KPNG,5,2
Denpasar,Mataram,KPNG,6,8
Denpasar,Mataram,KPNG,7,1
Denpasar,Mataram,KPNG,8,1
Denpasar,Mataram,KPNG,9,1
Denpasar,Mataram,KPNG,10,1
Denpasar,Mataram,KPNG,11,1
Denpasar,Mataram,KPNG,12,3
Makassar,Mamuju,TRUK,3,1
Makassar,Mamuju,TRUK,4,2
Makassar,Mamuju,TRUK,6,3
Makassar,Mamuju,TRUK,7,2
Makassar,Mamuju,TRUK,8,1
Makassar,Kupang,KBRG,2,1
Makassar,Kupang,KBRG,4,1
Makassar,Kupang,KBRG,6,1
Makassar,Kupang,KBRG,8,1
Makassar,Kupang,KBRG,9,1
Makassar,Kendari,TRUK,2,3
Makassar,Kendari,TRUK,5,3
Makassar,Kendari,TRUK,6,4
Makassar,Kendari,TRUK,8,2
Makassar,Kendari,TRUK,10,4
Makassar,Ambon,KBRG,2,1
Makassar,Ambon,KBRG,6,1
Makassar,Ambon,KBRG,7,1
Makassar,Ambon,KBRG,9,1
Makassar,Manokwari,KBRG,12,1
Makassar,Jayapura,KBRG,3,1
Makassar,Jayapura,KBRG,6,1
Makassar,Jayapura,KBRG,7,1
Makassar,Jayapura,KBRG,9,1
Manado,Ternate,KPNG,2,1
Manado,Ternate,KPNG,11,1
Manado,Ternate,KPNG,12,1
